Identifier,Name,State,Country
87,Subang Klassik Sdn Bhd ,MY-10,MYS
88,Suburmas Plantations Sdn Bhd ,MY-13,MYS
89,Sun Tech Auto Air Conditioning ,MY-10,MYS
90,Holy Rubber Industries Sdn Bhd ,MY-10,MYS
91,Supervitamins Sdn Bhd ,MY-01,MYS
92,HSH Electric Sdn Bhd ,MY-10,MYS
93,Hup Chong Furniture Sdn Bhd ,MY-10,MYS
94,Hup Fatt Motor ,MY-08,MYS
95,Hup Seng & Co ,MY-01,MYS
96,Hup Seng Huat Cermin Dan Hiasan Aluminum ,MY-09,MYS
97,Syarikat Kolopis ,MY-12,MYS
98,Syarikat L.A. Piling & Construction Works Sdn Bhd ,MY-11,MYS
99,Syarikat Letrik Negamas Sdn Bhd ,MY-10,MYS
100,Syarikat Perniagaan Gomantong Jaya ,MY-13,MYS
